CODIGO,STOCK
PMA7724440D,3
PMA7725000,5
PMA7725350,12
PMA7726000,21
PMA7726350,9
PMA7810000,0
PMA7810350,0
PMA7813000,10
PMA7813350,5
PMA7814000,15
PMA7814350,28
PMA7814440,11
PMA7815000,15
PMA7816000,4
PMA7816350,4
PMA7820000,6
PMA7820350,13
PMA8601000,33
PMA8601350,6
PMA8607000,2
PMA8609000,1
PMA8614000,1
PMA8622000,2
PMA8636000,0
PMA8722000,6
PMA8724000,6
PMA8788000,0
PMA8792000,4
PMA8792350,2
PMA9035000,2
PMA9036000,1
PMA9043000,5
PMA9043350,4
PMA9152000,1
PMA9164000,2
PMA9164350,2
PMA9166000,0
PMA9167000,2
PMA9505000,4
PMA9505350,12
PMA9523000,0
PMA9557000,0
PMT7707000,0
PNA2249000,0
PNA2249120,0
PNA2249130,0
PNA2350000,0
PNA2350110,0
PNA2350120,0
PNA2367000,0
PNA2367110,0
PNA2367120,0
PNA2367130,0
PNA2651000,0
PNA2701000,0
PNA2704000,0
PNA2704120,0
PNA7441000,1
PNA7441440,2
PNA7462000,0
PNA7462120,0
PNA7504000,6
PNA7504350,3
PNA7504440,0
PNA7505000,5
PNA7505350,0
PNA7505440,3
PNA7506000,4
PNA7506350,2
PNA7507000,0
PNA7508440,1
PNA7509000,3
PNA7509350,3
PNA7509440,0
PNA7510440,6
PNA7604360,2
PNA7606360,1
PNA7606440,4
PNA7607360,1
PNA7607440,0
PNA7703000,9
PNA7710000,7
PNA7710350,5
PNA7710440,4
PNA7809000,1
PNA7809350,2
PNA7985000,0
PNA7985120,0
PNA7988000,0
PNA7988120,0
PNA8296000,0
PNA8296360,0
PNA8296440,0
PNA8443000,1
PNA8443360,3
PNA8443440,1
PNA8535000,0
PNA8537000,0
PNA8626000,2
PNA8626350,2
PNA8644000,0
PNA8644350,1
PNA9517000,2
PNA9517350,2
PNO3155000,0
PNO3155120,0
PNO3165000,0
PNO3165120,0
PNT7511000,0
PNT7511120,0
PNT7511130,0
PNT7511140,0
PNT7511160,0
PNT7513130,0
PNT7513140,0
PNT7513160,0
PNT7517000,0
PNT7517120,0
PNT7517130,0
PNT7517140,0
PNT7517160,0
PSA2149000,0
PSA2149110,0
PSA2149120,0
PSA2385000,0
PSA2385120,0
RMK0953000,0
RMK0961000,0
RMK1089000,0
RMK1261000,0
RTH1786000,0
YMA7522000,0
YMA7714350,3
YMA7909000,0
YMA7909120,0
YRA2030000,1
YRA2030340,0
YRA2030360,3
YRA7311000,0
YRA7464000,3
YRA8480000,0
YRA8542000,0
YRA8625000,1
YRA8625350,1
YRA8631000,3
YRA8656000,0
YRA8723000,9
YRA8723350,10
YRA8726000,0
YRA8726350,0
YRA8732000,0
YRA8732350,1
YRA8815000,0
YRA8902000,0
YRA9039000,1
YRA9039350,4
YRO7058000,0
YSA1248000,0
YSA1248350,0
YSI1248000,0
YSI1248350,0
YSS0444000,0
